transaction_id,account_id,txn_date,txn_type,amount,channel,created_at
TXN00000001,ACC000921,2026-07-13 08:30:49.682620,WITHDRAWAL,51761.64,MOBILE_APP,2026-07-13 08:30:49.682620
TXN00000002,ACC002530,2026-06-10 20:21:48.044743,DEPOSIT,39827.06,ATM,2026-06-10 20:21:48.044743
TXN00000003,ACC003012,2026-06-04 13:01:32.794491,DEPOSIT,57294.37,BRANCH,2026-06-04 13:01:32.794491
TXN00000004,ACC002170,2026-07-10 20:07:19.328578,DEPOSIT,74334.0,ONLINE,2026-07-10 20:07:19.328578
TXN00000005,ACC000824,2026-07-15 06:26:49.517474,UPI_TRANSFER,52200.99,ATM,2026-07-15 06:26:49.517474
TXN00000006,ACC003460,2026-06-10 11:20:30.776219,UPI_TRANSFER,14665.8,ATM,2026-06-10 11:20:30.776219
TXN00000007,ACC000340,2026-06-12 14:40:25.197846,WITHDRAWAL,64587.61,MOBILE_APP,2026-06-12 14:40:25.197846
TXN00000008,ACC000165,2026-06-20 15:00:51.759977,UPI_TRANSFER,3501.13,BRANCH,2026-06-20 15:00:51.759977
TXN00000009,ACC001052,2026-06-30 21:41:08.475880,WITHDRAWAL,12334.33,ONLINE,2026-06-30 21:41:08.475880
TXN00000010,ACC001616,2026-06-20 21:15:35.991913,WITHDRAWAL,25034.83,UPI,2026-06-20 21:15:35.991913
TXN00000011,ACC001018,2026-06-28 18:37:20.539876,INTEREST_CREDIT,68788.49,MOBILE_APP,2026-06-28 18:37:20.539876
TXN00000012,ACC003277,2026-06-20 16:01:14.733592,UPI_TRANSFER,11570.83,ATM,2026-06-20 16:01:14.733592
TXN00000013,ACC002611,2026-07-13 04:52:59.193182,WITHDRAWAL,10997.94,ONLINE,2026-07-13 04:52:59.193182
TXN00000014,ACC000468,2026-07-14 02:44:25.945374,WITHDRAWAL,20497.45,ATM,2026-07-14 02:44:25.945374
TXN00000015,ACC001405,2026-06-29 08:04:56.183866,WITHDRAWAL,65874.74,ONLINE,2026-06-29 08:04:56.183866
TXN00000016,ACC002145,2026-05-25 01:34:46.514450,UPI_TRANSFER,67362.47,BRANCH,2026-05-25 01:34:46.514450
TXN00000017,ACC003035,2026-07-09 19:14:02.778914,UPI_TRANSFER,53029.46,BRANCH,2026-07-09 19:14:02.778914
TXN00000018,ACC000534,2026-06-20 02:56:17.877058,INTEREST_CREDIT,29697.86,MOBILE_APP,2026-06-20 02:56:17.877058
TXN00000019,ACC002588,2026-06-05 07:37:34.784776,DEPOSIT,19439.78,ATM,2026-06-05 07:37:34.784776
TXN00000020,ACC003124,2026-07-06 21:31:16.734436,UPI_TRANSFER,18951.52,ONLINE,2026-07-06 21:31:16.734436
TXN00000021,ACC001695,2026-07-07 19:50:15.091993,DEPOSIT,4048.82,ATM,2026-07-07 19:50:15.091993
TXN00000022,ACC000039,2026-07-13 19:53:10.443640,UPI_TRANSFER,60093.38,MOBILE_APP,2026-07-13 19:53:10.443640
TXN00000023,ACC002856,2026-06-27 01:18:59.143274,FEE_DEBIT,58160.24,MOBILE_APP,2026-06-27 01:18:59.143274
